model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,mt_corrected_sample_count_mean,mt_corrected_sample_pct_mean,error
hes,kappa,1.3,barr,put,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.004833592065973399,0.004833592065973399,0.004795124959647661,6.143533405515645e-05,0.7958285639479395,0.005091190343792329,6.755411572198183e-05,5.3293342570698305,0.9458028120995732,0.05800957845523953,100000.0,,,0.0,0.0,2299.84,2.29984,
hes,kappa,4.5,van,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12896962074038665,0.0063286198727709195,0.6694798776688754,0.1276414706865639,0.005645091752719128,0.3672307395312657,0.9962315351783764,0.0020659269008319824,1000.0,,,0.0,0.0,18.26,1.8260000000000003,
hes,kappa,4.5,van,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12815134166168143,0.0017614784605688948,0.030757915278579427,0.12796610776958806,0.001727992316020186,0.11382961987664512,0.9443702457193285,0.007345341938780621,10000.0,,,0.0,0.0,185.84,1.8584000000000003,
hes,kappa,4.5,van,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12809244333816985,0.0005944235701740904,0.01521619520991273,0.1277723892861928,0.0006225425859347809,0.2650399502950532,0.963337866422371,0.05774778901832178,100000.0,,,0.0,0.0,1880.06,1.8800600000000003,
hes,kappa,4.5,van,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.08318728103477464,0.005008096936607239,1.0963547148221964,0.0848335433877412,0.004179467888742593,0.8609318532540257,0.9962315351783764,0.0020659269008319824,1000.0,,,0.0,0.0,18.26,1.8260000000000003,
hes,kappa,4.5,van,put,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.0839858737853628,0.0010714839542240032,0.14688583990526563,0.08423142729165946,0.0014141691792545353,0.14505947412830092,0.9443702457193285,0.007345341938780621,10000.0,,,0.0,0.0,185.84,1.8584000000000003,
hes,kappa,4.5,van,put,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.08425913454946779,0.0004034767644890621,0.17800139462399187,0.08452724407420216,0.00042676801603919005,0.49676417905519393,0.963337866422371,0.05774778901832178,100000.0,,,0.0,0.0,1880.06,1.8800600000000003,
hes,kappa,4.5,barr,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.1210601337376728,0.006078037521255859,0.3668369192581842,0.12049709737677608,0.005738041763162694,0.09995736610239825,0.9962315351783764,0.0020659269008319824,1000.0,,,0.0,0.0,18.26,1.8260000000000003,
hes,kappa,4.5,barr,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.12073447631602807,0.001729636389380111,0.09684543386474792,0.12084222756928631,0.0017033588440656,0.18617833091118277,0.9443702457193285,0.007345341938780621,10000.0,,,0.0,0.0,185.84,1.8584000000000003,
hes,kappa,4.5,barr,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.12060699281920073,0.000591144066581712,0.00884679478991748,0.1206400260494258,0.0006276951726858816,0.01853993219073737,0.963337866422371,0.05774778901832178,100000.0,,,0.0,0.0,1880.06,1.8800600000000003,
