model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,nvp_mean,nvp_std,nvp_rel_error_pct,mc_seconds_mean,nvp_seconds_mean,error
hes,kappa,1.3,van,put,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0781343111941596,0.0781343111941596,0.078796514535093,0.0037016601072971,0.8475192662641752,0.0783482459838634,0.0042257140413471,0.2738038979727393,0.9001371203997405,0.012154055138817,
hes,kappa,1.3,van,put,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0781343111941596,0.0781343111941596,0.0774119938908899,0.0013075566764063,0.9244559684858652,0.0789435652800689,0.0012508777676649,1.0357217892383783,0.8550441608205438,0.0112151387578342,
hes,kappa,1.3,van,put,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0781343111941596,0.0781343111941596,0.0776570051754267,0.0005221181990247,0.6108788974242675,0.0784062172222447,0.0004625400486539,0.3479982403753886,0.9458028120995732,0.0339534109213855,
hes,kappa,1.3,barr,call,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.112501917178728,0.112501917178728,0.1115327748783528,0.0051461879195068,0.8614451421619164,0.1120851613472049,0.0047373118145303,0.3704433150779649,0.9001371203997405,0.012154055138817,
hes,kappa,1.3,barr,call,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.112501917178728,0.112501917178728,0.111827256678374,0.0014644040851602,0.5996880029006375,0.1123603173510493,0.0015278656145025,0.1258643685634229,0.8550441608205438,0.0112151387578342,
hes,kappa,1.3,barr,call,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.112501917178728,0.112501917178728,0.1119255930106045,0.0004512982765588,0.5122794193880027,0.1123170401751771,0.0004273697225752,0.1643323137837868,0.9458028120995732,0.0339534109213855,
hes,kappa,1.3,barr,put,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0048335920659733,0.0048335920659733,0.0047267884232564,0.0006572228686862,2.2096122564577723,0.0047639647070426,0.0006352082476392,1.4404889361861897,0.9001371203997405,0.012154055138817,
hes,kappa,1.3,barr,put,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0048335920659733,0.0048335920659733,0.0047585817093228,0.0002294686274194,1.5518553412604184,0.004863790408143,0.0002159740552341,0.6247598423170989,0.8550441608205438,0.0112151387578342,
hes,kappa,1.3,barr,put,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0048335920659733,0.0048335920659733,0.0047951249596476,6.143533405515645e-05,0.7958285639479395,0.0048307514712192,5.6583803888675655e-05,0.0587677800553857,0.9458028120995732,0.0339534109213855,
hes,kappa,4.5,van,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1281119371006062,0.1281119371006062,0.1289696207403866,0.0063286198727709,0.6694798776688754,0.1287577634396843,0.0051902528676391,0.5041109780198424,0.9962315351783764,0.0124232524249237,
