model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,error
hes,r,0.0975,barr,call,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1728912447695687,0.1728912447695687,0.17288148673054513,0.000636788545495988,0.005644033066332615,0.16971414882526495,0.0006075107222009822,1.8376268552743849,0.8249555842980044,0.05659947362495586,97489.5,2510.5,2.5105,0.0,0.0,
hes,r,0.0975,barr,put,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0028317795049901686,0.0028317795049901686,0.002818200679972111,0.00041828765766599,0.4795156188583506,0.0028917332728220307,0.0005484205688815483,2.117176415967818,0.7950834780017613,0.0026392635819502174,975.1,24.9,2.49,0.0,0.0,
hes,r,0.0975,barr,put,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0028317795049901686,0.0028317795049901686,0.00283046585137727,0.00014178655168119354,0.04638968572884549,0.0028789995644257172,0.00016281045837767126,1.6675048093376394,0.7939461783226579,0.00880752818309702,9748.76,251.24,2.5124,0.0,0.0,
hes,r,0.0975,barr,put,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0028317795049901686,0.0028317795049901686,0.002824225968859554,5.414784931913786e-05,0.26674167664904197,0.002894033696513442,4.829961507192576e-05,2.1984123909919098,0.8249555842980044,0.05659947362495586,97489.5,2510.5,2.5105,0.0,0.0,
hes,kappa,1.3,van,call,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12213682968250583,0.12213682968250583,0.12078496620270159,0.004684134365480829,1.106843433973528,0.12059010692196427,0.004203530281101886,1.2663852210363247,0.9001371203997405,0.002529771197587252,979.22,20.78,2.0780000000000003,0.0,0.0,
hes,kappa,1.3,van,call,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12213682968250583,0.12213682968250583,0.1213969890899407,0.0014476052744044471,0.6057473363999539,0.12038012723162161,0.0013319950312283605,1.4383069017353391,0.8550441608205438,0.008186146317748354,9786.18,213.82,2.1382,0.0,0.0,
hes,kappa,1.3,van,call,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12213682968250583,0.12213682968250583,0.12148018010417852,0.00044406065677995505,0.5376343728867613,0.12072855667558084,0.00040047934504309433,1.1530289516976897,0.9458028120995732,0.05643746331566945,97842.44,2157.56,2.1575599999999997,0.0,0.0,
hes,kappa,1.3,van,put,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.07813431119415969,0.07813431119415969,0.078796514535093,0.0037016601072971307,0.8475192662641752,0.07742762263160774,0.005258157334820106,0.9044535643193453,0.9001371203997405,0.002529771197587252,979.22,20.78,2.0780000000000003,0.0,0.0,
hes,kappa,1.3,van,put,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.07813431119415969,0.07813431119415969,0.07741199389088996,0.0013075566764063214,0.9244559684858653,0.0782287972689352,0.0014784382404716071,0.12092776314456398,0.8550441608205438,0.008186146317748354,9786.18,213.82,2.1382,0.0,0.0,
hes,kappa,1.3,van,put,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.07813431119415969,0.07813431119415969,0.07765700517542676,0.0005221181990247648,0.6108788974242675,0.07824706722997082,0.0003730922960990569,0.14431052643561992,0.9458028120995732,0.05643746331566945,97842.44,2157.56,2.1575599999999997,0.0,0.0,
hes,kappa,1.3,barr,call,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.11250191717872805,0.11250191717872805,0.11153277487835288,0.005146187919506898,0.8614451421619164,0.1113265236909945,0.003865692910187335,1.0447764066689194,0.9001371203997405,0.002529771197587252,979.22,20.78,2.0780000000000003,0.0,0.0,
hes,kappa,1.3,barr,call,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.11250191717872805,0.11250191717872805,0.11182725667837401,0.0014644040851602195,0.5996880029006375,0.11093852360067309,0.001272124817454266,1.389659498487701,0.8550441608205438,0.008186146317748354,9786.18,213.82,2.1382,0.0,0.0,
hes,kappa,1.3,barr,call,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.11250191717872805,0.11250191717872805,0.1119255930106045,0.0004512982765588722,0.5122794193880027,0.11126751894357763,0.00039127045753694186,1.0972241772461329,0.9458028120995732,0.05643746331566945,97842.44,2157.56,2.1575599999999997,0.0,0.0,
hes,kappa,1.3,barr,put,1000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.004833592065973399,0.004833592065973399,0.00472678842325648,0.0006572228686862115,2.2096122564577723,0.005001201208282542,0.0006369156136558589,3.467589734951894,0.9001371203997405,0.002529771197587252,979.22,20.78,2.0780000000000003,0.0,0.0,
hes,kappa,1.3,barr,put,10000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.004833592065973399,0.004833592065973399,0.004758581709322851,0.00022946862741947177,1.5518553412604184,0.0049888224223660245,0.00020010471058815285,3.211490632099194,0.8550441608205438,0.008186146317748354,9786.18,213.82,2.1382,0.0,0.0,
hes,kappa,1.3,barr,put,100000,"(1.0, 1.0, 0.03, 1.3, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.004833592065973399,0.004833592065973399,0.004795124959647661,6.143533405515645e-05,0.7958285639479395,0.004918125641007065,6.382317397647243e-05,1.7488768989991805,0.9458028120995732,0.05643746331566945,97842.44,2157.56,2.1575599999999997,0.0,0.0,
