set_idx,option,opt_type,barrier,S0,K,r,sigma,T,closed_form_delta,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_100k_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,vega_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,mc_100k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
5,barr_put,put,0.8,1.0,1.0,0.027259260528264162,0.14800974299310418,2.178,-0.009051964775408372,0.03590594220282371,-0.0006394308253013237,-0.009869055598435428,-0.018231715739019418,0.001124167438003483,-0.0030792832172528775,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,0.0014800974299310418,0.02178,0.044957906978232084,0.008412533950107048,0.0008170908230270557,0.009179750963611046,0.010176132213411855,0.0059726815581554946
6,van_call,call,,1.0,1.0,0.02764642551430967,0.030617353534880164,0.219,0.6663035874335272,0.7725605276877555,0.7780318540303341,0.7758141101809836,0.7734615736971416,0.7653332721976563,0.7658736037868519,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00030617353534880166,0.00219,0.10625694025422827,0.1117282665968069,0.10951052274745632,0.10715798626361439,0.0990296847641291,0.09957001635332463
6,van_put,put,,1.0,1.0,0.02764642551430967,0.030617353534880164,0.219,-0.33369641256647276,-0.22744533235035677,-0.22196794090419308,-0.22418639069714097,-0.22625822934295567,-0.23438179819681879,-0.23384100375719558,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00030617353534880166,0.00219,0.10625108021611598,0.11172847166227967,0.10951002186933179,0.10743818322351709,0.09931461436965397,0.09985540880927718
6,barr_call,call,0.8,1.0,1.0,0.02764642551430967,0.030617353534880164,0.219,0.7770376509916743,0.7740291887131728,0.7757173553671248,0.7773016596895699,0.7734615736971416,0.7653332721976563,0.7658736037868519,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00030617353534880166,0.00219,0.003008462278501489,0.0013202956245494946,0.0002640086978955569,0.003576077294532687,0.011704378794017978,0.011164047204822447
6,barr_put,put,0.8,1.0,1.0,0.02764642551430967,0.030617353534880164,0.219,-0.22296234900833767,-0.22597485332365164,-0.22428334489918872,-0.22269928710145023,-0.22625822934295567,-0.23438179819681879,-0.23384100375719558,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00030617353534880166,0.00219,0.0030125043153139686,0.001320995890851051,0.00026306190688743514,0.003295880334618001,0.011419449188481118,0.010878654748857908
7,van_call,call,,1.0,1.0,0.08018721775350193,0.594299599132147,1.374,0.6937369760891022,0.6700518090398955,0.6864904188033594,0.6957509853439736,0.7057043097604188,0.7053039116665494,0.7004270628832576,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.005942995991321471,0.013740000000000002,0.023685167049206757,0.007246557285742861,0.002014009254871385,0.011967333671316527,0.011566935577447146,0.006690086794155392
7,van_put,put,,1.0,1.0,0.08018721775350193,0.594299599132147,1.374,-0.30626302391089777,-0.3211185280146883,-0.3058770965493729,-0.30294928147071576,-0.29961122033877186,-0.30031592098397897,-0.301015282987932,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.005942995991321471,0.013740000000000002,0.014855504103790551,0.0003859273615248737,0.0033137424401820104,0.006651803572125914,0.005947102926918801,0.00524774092296576
7,barr_call,call,0.8,1.0,1.0,0.08018721775350193,0.594299599132147,1.374,0.9516585205079392,1.0826940795581634,0.948010356044135,0.9830165751023467,0.7899707579352572,0.9191191631119117,0.8830579761179763,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.005942995991321471,0.013740000000000002,0.13103555905022424,0.0036481644638042265,0.03135805459440755,0.16168776257268203,0.032539357396027535,0.06860054438996288
7,barr_put,put,0.8,1.0,1.0,0.08018721775350193,0.594299599132147,1.374,0.003336726412603297,-0.001901396711263294,0.0007871052253916695,0.00320250699578328,-0.008368163756305428,0.009075622351922732,0.006505082229850043,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.005942995991321471,0.013740000000000002,0.005238123123866591,0.0025496211872116275,0.00013421941682001696,0.011704890168908725,0.0057388959393194355,0.0031683558172467463
8,van_call,call,,1.0,1.0,0.09581393536837052,0.11495163304391982,0.918,0.8033586049618411,0.8076013796157688,0.8120644594053941,0.8151883672983168,0.8193035482391655,0.8170054802331711,0.8152444013960369,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,0.0011495163304391983,0.00918,0.00424277465392775,0.008705854443552985,0.011829762336475702,0.01594494327732443,0.013646875271330017,0.01188579643419585
8,van_put,put,,1.0,1.0,0.09581393536837052,0.11495163304391982,0.918,-0.19664139503815892,-0.1929620779273191,-0.18805539460484047,-0.18487582000408856,-0.18004523568161573,-0.18232215163648588,-0.18419922559268828,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,0.0011495163304391983,0.00918,0.003679317110839825,0.008586000433318447,0.011765575034070358,0.016596159356543183,0.014319243401673037,0.012442169445470636
8,barr_call,call,0.8,1.0,1.0,0.09581393536837052,0.11495163304391982,0.918,0.8155966514912002,0.810369830559679,0.8145389001632516,0.816300720755568,0.8193035482391655,0.8170054802331711,0.8152164261026148,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,0.0011495163304391983,0.00918,0.005226820931521159,0.0010577513279486084,0.0007040692643678348,0.003706896747965316,0.0014088287419709022,0.0003802253885853979
8,barr_put,put,0.8,1.0,1.0,0.09581393536837052,0.11495163304391982,0.918,-0.1525395022766175,-0.17999433804022272,-0.15989659229529216,-0.15208368595754188,-0.1466823101409118,-0.14542120438316863,-0.15367954511759546,1000,10000,100000,0.001,2034,1000,10000,100000,2034,0.01,0.0009581393536837051,0.0011495163304391983,0.00918,0.027454835763605218,0.007357090018674656,0.0004558163190756248,0.005857192135705708,0.007118297893448866,0.0011400428409779617
9,van_call,call,,1.0,1.0,0.08759326347420948,0.9508590402340381,1.071,0.7215164051186459,0.715584868481367,0.7001387959424898,0.7183903654506774,0.9258700213937043,0.8261647826190099,0.8166300248479808,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.00950859040234038,0.010709999999999999,0.005931536637278856,0.021377609176156054,0.0031260396679685387,0.20435361627505844,0.10464837750036404,0.09511361972933485
9,van_put,put,,1.0,1.0,0.08759326347420948,0.9508590402340381,1.071,-0.2784835948813541,-0.27520012767390245,-0.2863371027179318,-0.27806878818548153,-0.25691749411148046,-0.26952377885940404,-0.26991450313915144,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.00950859040234038,0.010709999999999999,0.0032834672074516513,0.007853507836577678,0.0004148066958725716,0.021566100769873642,0.008959816021950062,0.008569091742202661
