set_idx,option,opt_type,barrier,S0,K,r,kappa,long_var,xi,corr,v0,T,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_reference_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,v0_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
10,van_put,put,,1.0,1.0,0.03578172699578667,1.637543321288439,0.02115010201032699,0.9382047718135103,-0.6445860246837184,0.0024288597843527136,0.266,-0.20316636622073128,-0.21890735489804772,-0.22052305279500803,-0.22646230567405795,-0.23101881167300245,-0.2314483278378656,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,2.4288597843527137e-05,0.00266,0.017356686574276747,0.0016156978969603109,0.005939252879049922,0.010495758877994421,0.010925275042857563
10,barr_call,call,0.8,1.0,1.0,0.03578172699578667,1.637543321288439,0.02115010201032699,0.9382047718135103,-0.6445860246837184,0.0024288597843527136,0.266,0.7987474054641657,0.7816056998952603,0.7792807892375652,0.7699935180501185,0.7657173599087813,0.7654852588196925,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,2.4288597843527137e-05,0.00266,0.01946661622660051,0.002324910657695134,0.009287271187446655,0.01356342932878385,0.013795530417872626
10,barr_put,put,0.8,1.0,1.0,0.03578172699578667,1.637543321288439,0.02115010201032699,0.9382047718135103,-0.6445860246837184,0.0024288597843527136,0.266,-0.17281659219804124,-0.1795606047465116,-0.185554617464956,-0.20011477306096456,-0.1929697310684507,-0.1991118768010184,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,2.4288597843527137e-05,0.00266,0.012738025266914754,0.005994012718444408,0.014560155596008567,0.0074151136034947,0.013557259336062416
11,van_call,call,,1.0,1.0,0.050099512552345876,0.9088410175594575,0.0027722747139764825,0.4074567044170472,-0.004161761951331111,0.013130930147272965,2.753,0.9080189831352031,0.8880414614932497,0.8900425989177785,0.9154578330427765,0.9029580727243885,0.9029152342063196,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.00013130930147272965,0.027530000000000002,0.017976384217424646,0.002001137424528787,0.02541523412499802,0.012915473806610067,0.012872635288541101
11,van_put,put,,1.0,1.0,0.050099512552345876,0.9088410175594575,0.0027722747139764825,0.4074567044170472,-0.004161761951331111,0.013130930147272965,2.753,-0.09778848343472389,-0.11099512861249307,-0.1100857984626797,-0.1016036345056306,-0.11814051948443455,-0.11899777664719866,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.00013130930147272965,0.027530000000000002,0.012297315027955807,0.0009093301498133699,0.008482163957049094,0.008054721021754849,0.008911978184518957
11,barr_call,call,0.8,1.0,1.0,0.050099512552345876,0.9088410175594575,0.0027722747139764825,0.4074567044170472,-0.004161761951331111,0.013130930147272965,2.753,0.9155870874073185,0.920131871696131,0.9060936201612357,0.9454058515852182,0.93583209186478,0.9495754673441409,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.00013130930147272965,0.027530000000000002,0.009493467246082798,0.01403825153489524,0.039312231423982436,0.029738471703544267,0.04348184718290515
11,barr_put,put,0.8,1.0,1.0,0.050099512552345876,0.9088410175594575,0.0027722747139764825,0.4074567044170472,-0.004161761951331111,0.013130930147272965,2.753,-0.05601035693177333,-0.03213807106166502,-0.03596777406692925,-0.06379223275687412,-0.045856483555867286,-0.043601822574925675,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.00013130930147272965,0.027530000000000002,0.02004258286484408,0.0038297030052642303,0.027824458689944875,0.009888709488938038,0.007634048507996427
12,van_call,call,,1.0,1.0,0.06834629351721364,1.2770405106875868,0.05113514122579749,0.8301692795266384,-0.055795428146512616,0.254163140643501,2.509,0.7592267741628966,0.7583307629570324,0.7516980541420359,0.7623652265632164,0.7565481744424285,0.762247228527102,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.0025416314064350097,0.02509,0.007528720020860691,0.006632708814996446,0.010667172421180426,0.0048501203003925575,0.010549174385066085
12,van_put,put,,1.0,1.0,0.06834629351721364,1.2770405106875868,0.05113514122579749,0.8301692795266384,-0.055795428146512616,0.254163140643501,2.509,-0.24118025715305497,-0.24135827818256572,-0.24655994762378952,-0.24486726500780043,-0.24608239372012758,-0.2426730036553748,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.0025416314064350097,0.02509,0.005379690470734555,0.0052016694412238,0.001692682615989094,0.0004775539036619425,0.0038869439684147133
12,barr_call,call,0.8,1.0,1.0,0.06834629351721364,1.2770405106875868,0.05113514122579749,0.8301692795266384,-0.055795428146512616,0.254163140643501,2.509,0.8693862048043288,0.9231071183643635,0.928374507915769,0.8861150392890954,0.9970168743593244,0.9125290252031376,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.0025416314064350097,0.02509,0.05898830311144021,0.005267389551405488,0.042259468626673624,0.06864236644355537,0.01584548271263142
12,barr_put,put,0.8,1.0,1.0,0.06834629351721364,1.2770405106875868,0.05113514122579749,0.8301692795266384,-0.055795428146512616,0.254163140643501,2.509,-0.011080747158272349,0.0024033748520775654,0.0016047330611744948,0.006667850128192886,0.0019651301925373245,0.005609721961091275,1000,10000,100000,0.001,2434,1000,10000,100000,2434,0.01,0.0006834629351721364,0.0025416314064350097,0.02509,0.012685480219446843,0.0007986417909030706,0.0050631170670183915,0.0003603971313628296,0.00400498889991678
13,van_call,call,,1.0,1.0,0.07127020269829003,1.965442493972017,0.040491737976482756,0.8854388219849796,-0.8688558881616036,0.03192898343521296,0.561,0.7900404579568365,0.8057138668193908,0.8078542437196828,0.8021779246738553,0.791725705629194,0.7926713519108175,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.0003192898343521296,0.00561,0.017813785762846313,0.002140376900292007,0.005676319045827549,0.016128538090488864,0.01518289180886534
13,van_put,put,,1.0,1.0,0.07127020269829003,1.965442493972017,0.040491737976482756,0.8854388219849796,-0.8688558881616036,0.03192898343521296,0.561,-0.20401189499528252,-0.19437006584408015,-0.1925915182326328,-0.19250416124141217,-0.20431185434682878,-0.20270762019306554,1000,10000,100000,0.001,2534,1000,10000,100000,2534,0.01,0.0007127020269829002,0.0003192898343521296,0.00561,0.011420376762649731,0.0017785476114473564,8.735699122061624e-05,0.011720336114195984,0.01011610196043275
